mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	269									
13	12	46	46	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	270									
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	271									
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	272									
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	273									
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	274									
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	275									
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	276									
13	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	277									
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	278									
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	279									
13	12	47	47	0.0	1/2	1/2	StaffText	4/4	2	3	0							Cont.					
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	3	1/4	1/4	1	280									
13	12	45	45	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	281									
13	12	46	46	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	282									
13	12	47	47	0.0	1/2	1/2	StaffText	4/4	3	3	0							Cont.					
13	12	47	47	1.0	1/2	1/2	Chord	4/4	3	3	1/4	1/4	1	283									
