mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	282							
13	12	45	45	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283	bei						
13	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	284	dir						
13	12	47	47	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	285	seit!						
13	12	45	45	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	286							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	287							
13	12	46	46	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	288							
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	289							
13	12	47	47	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	290							
13	12	45	45	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	291							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	292							
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	293							
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	294							
13	12	47	47	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	295							
13	12	45	45	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	296							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	297							
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	298							
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	299							
13	12	47	47	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	300							
13	12	45	45	0.0	0	0	StaffText	4/4	2	3	0					Cont.					
13	12	45	45	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	301							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	302							
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	3	1/8	1/8	1	303							
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8	1/8	1	304							
13	12	47	47	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	305							
13	12	45	45	0.0	0	0	StaffText	4/4	3	3	0					Cont.					
13	12	45	45	0.5	0	0	Chord	4/4	3	3	1/8	1/8	1	306							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	3	3	1/8	1/8	1	307							
13	12	46	46	0.5	1/4	1/4	Chord	4/4	3	3	1/8	1/8	1	308							
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	3	3	1/8	1/8	1	309							
