mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	243								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	244								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	245								
11	11	40	40	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	246	bis							
11	11	41	41	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	247	ich							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	248	fröh-							
11	11	43	43	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	249	-lich							
11	11	87/2	87/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	250								
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	251								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	252								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	253								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	254								
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	255								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	256								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	257								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	258								
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	259								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	260								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	261								
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	262								
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	263								
11	11	40	40	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	264								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	265								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	266								
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	267								
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	268								
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	269	wer-							
12	12	45	45	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	270	-de							
12	12	91/2	91/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=68.9	69.0	𝅘𝅥	68.9	0.0
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	271								
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	272	schau-							
12	12	93/2	93/2	0.0	5/8	5/8	Tempo	4/4	1	1	0							𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0
12	12	47	47	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70.88	71.0	𝅘𝅥	70.88	0.0
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	273	-en							
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	274								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	275								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	276								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	277								
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	278								
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	279								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	280								
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	281								
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	282								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	283								
12	12	44	44	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	284								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	285								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	286								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	287								
12	12	44	44	0.5	0	0	Chord	4/4	2	3	1/8	1/8	1	288								
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	3	1/8	1/8	1	289								
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	290								
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	291								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	292								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	293								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	294								
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72.2	72.0	𝅘𝅥	72.2	0.0
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	295	dich,							
13	13	49	49	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	296	Herr							
13	13	99/2	99/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	297	Je-							
13	13	51	51	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=67.3	67.0	𝅘𝅥	67.3	0.0
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	298	-su,							
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	299								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	300								
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	301								
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	302								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	303								
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	304								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	305								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	306								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	307								
13	13	48	48	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	308								
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	309								
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	310								
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	311								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	312								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	313								
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	314								
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	315								
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	316								
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	317								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	318								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	319								
14	14	52	52	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	320	nach							
14	14	53	53	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	321	dem	ornamentTrill						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	322	Streit							
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	323								
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	324								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	325								
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	326								
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	327								
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	328								
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	329								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	330								
14	14	52	52	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	331								
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	332								
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	333								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	334								
14	14	52	52	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	335								
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	336								
14	14	53	53	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	337								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	338								
15	15	56	56	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=62.75	63.0	𝅘𝅥	62.75	0.0
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	339	in							
15	15	57	57	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=63.8	64.0	𝅘𝅥	63.8	0.0
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	340	der							
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	341	sü-							
15	15	59	59	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	342	-ssen							
15	15	56	56	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	343								
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	344								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	345								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	346								
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	347								
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	348								
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	349								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	350								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	351								
15	15	56	56	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	352								
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	353								
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	354								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	355								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	356								
15	15	56	56	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	357								
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	358								
15	15	57	57	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	359								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	360								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	361								
16	16	60	60	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=60.1	60.0	𝅘𝅥	60.1	0.0
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	362	E-							
16	16	61	61	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	363	-wig-							
16	16	123/2	123/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=49.3	49.0	𝅘𝅥	49.3	0.0
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	364	-keit.							
16	16	60	60	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	365								
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	366								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	367								
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	368								
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	369								
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	370								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	371								
16	16	60	60	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	372								
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	373								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	374								
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	375								
16	16	61	61	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	376								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	377								
