mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
27	26	100	104	4.0		0	0	Chord	4/4	2	2	1	1	1	111								
32	31	122	126	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	112	un-							
32	31	122	126	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	113								
32	31	122	126	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	114								
32	31	122	126	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	115								
33	32	124	128	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	116	-zäh-							
33	32	126	130	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	117	-lig							
33	32	124	128	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	118								
33	32	126	130	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	119								
33	32	124	128	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	120								
33	32	126	130	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	121								
33	32	124	128	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	122								
33	32	126	130	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	123								
34	33	128	132	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	124	viel							
34	33	130	134	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	125	zu							
34	33	128	132	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	126								
34	33	130	134	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	127								
34	33	128	132	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	128								
34	33	130	134	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	129								
34	33	128	132	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	130								8
34	33	129	133	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	131								
34	33	130	134	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	132								
35	34	132	136	4.0		0	0	Chord	4/4	1	1	1	1	1	133	gut,							
35	34	132	136	4.0		0	0	Chord	4/4	1	2	1	1	1	134								
35	34	132	136	4.0		0	0	Chord	4/4	2	1	1	1	1	135								
35	34	132	136	4.0		0	0	Chord	4/4	2	2	1	1	1	136								
39	38	150	154	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	137	und							
39	38	150	154	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	138								
39	38	150	154	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	139								
39	38	150	154	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	140								
40	39	152	156	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	141	noch							
40	39	154	158	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	142	jetz-							
40	39	152	156	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	143								
40	39	154	158	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	144								
40	39	152	156	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	145								
40	39	154	158	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	146								
40	39	152	156	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	147								
40	39	154	158	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	148								
41	40	156	160	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	149	-und							
41	40	158	162	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	150	ge-							
41	40	156	160	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	151								
41	40	158	162	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	152								
41	40	156	160	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	153								
41	40	158	162	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	154								
41	40	156	160	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	155								
41	40	158	162	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	156								
42	41	160	164	4.0		0	0	Chord	4/4	1	1	1	1	1	157	-than.							
42	41	160	164	4.0		0	0	Chord	4/4	1	2	1	1	1	158								
42	41	160	164	4.0		0	0	Chord	4/4	2	1	1	1	1	159								
42	41	160	164	4.0		0	0	Chord	4/4	2	2	1	1	1	160								
