mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1	1	1	92												
15	15	56	56	4.0	0	0	Chord	4/4	2	2	1	1	1	93												
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	94	bei	und	und									
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	95												
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	96												
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	97												
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	98	uns	was	Hei-									
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	99	ist	sein	-lig!									
17	17	64	64	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	100												
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	101												
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	102												
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	103												
17	17	64	64	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	104												
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	105												
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	106	al-	Reich	Hei-									
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	107	-le	und	-lig!									
18	18	68	68	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	108												
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	109												
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	110												
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	111												
18	18	68	68	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	112												
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	113												
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	114	Mor-	An-	Hei-									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	115	-gen	-hang	-lig!									
19	19	72	72	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	116												
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	117												
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	118												
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	119												
19	19	72	72	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	120												
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	121												
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	122	neu	ist,	singt,									
20	20	76	76	4.0	0	0	Chord	4/4	1	2	1	1	1	123												
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	124												
20	20	76	76	4.0	0	0	Chord	4/4	2	2	1	1	1	125												
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	126	in	durch	ohn'									
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	127												
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	128												
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	129												
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	130	un-	dei-	ei-									
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	131	-serm	-ne	-ni-									
22	22	84	84	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	132												
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	133												
22	22	84	84	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	134												
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	135												
22	22	84	84	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	136												
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	137												
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	138	gan-	Kraft	-ges									
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	139	-zen	zer-	Auf-									
23	23	88	88	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	140												
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	141												
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	142												
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	143												
23	23	88	88	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	144												
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	145												
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	146	Le-	-stö-	-hö-									2
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	147												
24	24	92	92	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	148												3
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	149												
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1	1	1	150												
24	24	92	92	4.0	0	0	Chord	4/4	2	2	1	1	1	151												
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1	1	1	152	-ben.	-ren.	-ren.									
25	25	96	96	4.0	0	0	Chord	4/4	1	2	1	1	1	153												
25	25	96	96	4.0	0	0	Chord	4/4	2	1	1	1	1	154												
25	25	96	96	4.0	0	0	Chord	4/4	2	2	1	1	1	155												
